0.000000000000000000e+00 1.876933835550754888e-20
1.723022571461128513e-02 1.460383435071297992e-03
3.446045142922257026e-02 2.450029640849179981e-03
5.169067714383385886e-02 2.651147388439573441e-03
6.892090285844514053e-02 2.002114377716956821e-03
8.615112857305644301e-02 7.174248564706692689e-04
1.033813542876677177e-01 7.821094211610662159e-04
1.206115800022789925e-01 2.006194830570630274e-03
1.378418057168902811e-01 2.554427603641845883e-03
1.550720314315015835e-01 2.246386967649475694e-03
1.723022571461128860e-01 1.180171588386408430e-03
1.895324828607241330e-01 2.996188365736335854e-04
2.067627085753354355e-01 1.714007971015228757e-03
2.239929342899467379e-01 2.605388993643602009e-03
2.412231600045579849e-01 2.686248797755011377e-03
2.584533857191692596e-01 1.932539972658565280e-03
2.756836114337805621e-01 5.913936867419383346e-04
2.929138371483918646e-01 8.992713560377891928e-04
3.101440628630031671e-01 2.053054140157743821e-03
3.273742885776144695e-01 2.493003755596354728e-03
3.446045142922257720e-01 2.073857726555976538e-03
3.618347400068369635e-01 9.289154251246225635e-04
3.790649657214482660e-01 5.735935803923802694e-04
3.962951914360595684e-01 1.950363443715706418e-03
4.135254171506708709e-01 2.760059458475551831e-03
4.307556428652821734e-01 2.746498416302796050e-03
4.479858685798934759e-01 1.921477552724181739e-03
4.652160942945047784e-01 5.604418360093971901e-04
4.824463200091159698e-01 8.874642559370385158e-04
4.996765457237272723e-01 1.945603970260877461e-03
5.169067714383385193e-01 2.264730419527683381e-03
5.341369971529498217e-01 1.736222391371421755e-03
5.513672228675611242e-01 5.269693094516350682e-04
5.685974485821724267e-01 9.752817470009614558e-04
5.858276742967837292e-01 2.288198833821809310e-03
6.030579000113950316e-01 2.991610297028548041e-03
6.202881257260063341e-01 2.863757838067095517e-03
6.375183514406176366e-01 1.952851638424767501e-03
6.547485771552289391e-01 5.608266323018960093e-04
6.719788028698401305e-01 8.552361581351103619e-04
6.892090285844515440e-01 1.831830561217897895e-03
7.064392542990626245e-01 2.049482535772828486e-03
7.236694800136739270e-01 1.436083784520209537e-03
7.408997057282852294e-01 1.896585551879691038e-04
7.581299314428965319e-01 1.286636520677022621e-03
7.753601571575077234e-01 2.515960691670999800e-03
7.925903828721191369e-01 3.102840579602196471e-03
8.098206085867303283e-01 2.861421631674373675e-03
8.270508343013417418e-01 1.875345432225806195e-03
8.442810600159529333e-01 4.699861372777228629e-04
8.615112857305643468e-01 8.937149379383515406e-04
8.787415114451755382e-01 1.769147237933445726e-03
8.959717371597869517e-01 1.868887288633881618e-03
9.132019628743981432e-01 1.157509377038443144e-03
9.304321885890095567e-01 1.376275139446080922e-04
9.476624143036207482e-01 1.600884351191652483e-03
9.648926400182319396e-01 2.763711954232932547e-03
9.821228657328431311e-01 3.256776335224335125e-03
9.993530914474545446e-01 2.929423580693153294e-03
1.016583317162065736e+00 1.897819012115755039e-03
1.033813542876677039e+00 5.063634803735073738e-04
1.051043768591288341e+00 7.848171034022105585e-04
1.068273994305899643e+00 1.549562040263520587e-03
1.085504220020510946e+00 1.533851557924962444e-03
1.102734445735122248e+00 7.376689561767099928e-04
1.119964671449733551e+00 5.858279066823570422e-04
